댐코드,댐이름,예측구간,예측시간,기준시각,예상강수량,현재방류량,현재방류량_시간누적기준,예상누적방류_하한,예상누적방류_중앙,예상누적방류_상한,예상변화량,구간포함률,중앙값_MAE,방류증가가능성,운영해석
2008101,군위,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,8.129187711286756,26.445468960440973,39.94933655569866,1.2612633764675532,0.6490825688073395,14.670241403710666,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2008101,군위,3일,72,2026-05-04 11:00:00,0.0,0.396,28.512,69.57614358896778,95.4204133770435,180.86988860334878,1.3010456871333822,0.27882975093824636,32.07001668290572,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2008101,군위,5일,120,2026-05-02 11:00:00,9.0,0.396,47.52,138.65056541446094,206.8199485438086,206.8199485438086,1.5318677526425322,0.31183624528948267,93.12938145820134,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2018110,남강,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,365.4904745913338,446.39603890364305,1306.0620318277245,49.357080531485764,0.7458457232814413,256.8973706910392,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2018110,남강,3일,72,2026-05-04 11:00:00,0.0,35.695,2570.04,1302.7304495458668,1861.7753760730218,4352.840085723282,2.4510256609743317,0.5780560945493032,1077.9925243892944,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2018110,남강,5일,120,2026-05-02 11:00:00,22.0,49.787,5974.44,2253.9824961906943,8006.08776719215,8006.08776719215,0.24547394036173992,0.3022593844511653,2598.110413214596,중간,장기 전망 구간입니다. 강수 또는 누적 방류 증가 가능성이 있어 다음 예보 갱신을 확인해야 합니다.
3008110,대청,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,22.479481712885864,266.4009086827662,457.5009813037047,20.294160330949154,0.503486627239827,1415.8196465216852,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
3008110,대청,3일,72,2026-05-04 11:00:00,0.0,0.0,0.0,318.22441718630597,754.4801412681161,1775.7249979010726,23.299295130126634,0.48745678574594453,5072.88062338773,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
3008110,대청,5일,120,2026-05-02 11:00:00,19.0,0.0,0.0,664.3181761587673,1378.82410700387,2075.3109646730136,23.64607862666122,0.5095700169144485,6708.498990827063,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2021110,밀양,1일,24,2026-05-06 11:00:00,0.0,2.6,62.400000000000006,54.26586754551515,64.08791062195932,68.00147972775753,0.12179613954743106,0.39942235813795446,16.16897006343489,낮음,하루 전 관찰 우선순위 판단 구간입니다. 현재 기준으로 큰 방류 증가 신호는 낮지만 예보 갱신 시 다시 확인합니다.
